id,price
100000,4983759.69
100001,4983759.69
100002,4983759.69
100003,4983759.69
100004,4983759.69
100005,4983759.69
100006,4983759.69
100007,4983759.69
100008,4983759.69
100009,4983759.69
100010,4983759.69
100011,4983759.69
100012,4983759.69
100013,4983759.69
100014,4983759.69
100015,4983759.69
100016,4983759.69
100017,4983759.69
100018,4983759.69
100019,4983759.69
100020,4983759.69
100021,4983759.69
100022,4983759.69
100023,4983759.69
100024,4983759.69
100025,4983759.69
100026,4983759.69
100027,4983759.69
100028,4983759.69
100029,4983759.69
100030,4983759.69
100031,4983759.69
100032,4983759.69
100033,4983759.69
100034,4983759.69
100035,4983759.69
100036,4983759.69
100037,4983759.69
100038,4983759.69
100039,4983759.69
100040,4983759.69
100041,4983759.69
100042,4983759.69
100043,4983759.69
100044,4983759.69
100045,4983759.69
100046,4983759.69
100047,4983759.69
100048,4983759.69
100049,4983759.69
100050,4983759.69
100051,4983759.69
100052,4983759.69
100053,4983759.69
100054,4983759.69
100055,4983759.69
100056,4983759.69
100057,4983759.69
100058,4983759.69
100059,4983759.69
100060,4983759.69
100061,4983759.69
100062,4983759.69
100063,4983759.69
100064,4983759.69
100065,4983759.69
100066,4983759.69
100067,4983759.69
100068,4983759.69
100069,4983759.69
100070,4983759.69
100071,4983759.69
100072,4983759.69
100073,4983759.69
100074,4983759.69
100075,4983759.69
100076,4983759.69
100077,4983759.69
100078,4983759.69
100079,4983759.69
100080,4983759.69
100081,4983759.69
100082,4983759.69
100083,4983759.69
100084,4983759.69
100085,4983759.69
100086,4983759.69
100087,4983759.69
100088,4983759.69
100089,4983759.69
100090,4983759.69
100091,4983759.69
100092,4983759.69
100093,4983759.69
100094,4983759.69
100095,4983759.69
100096,4983759.69
100097,4983759.69
100098,4983759.69
100099,4983759.69
100100,4983759.69
100101,4983759.69
100102,4983759.69
100103,4983759.69
100104,4983759.69
100105,4983759.69
100106,4983759.69
100107,4983759.69
100108,4983759.69
100109,4983759.69
100110,4983759.69
100111,4983759.69
100112,4983759.69
100113,4983759.69
100114,4983759.69
100115,4983759.69
100116,4983759.69
100117,4983759.69
100118,4983759.69
100119,4983759.69
100120,4983759.69
100121,4983759.69
